Name,关键字,Url,Date,阅读
The memory models that underlie programming languages (2016),,https://news.ycombinator.com/item?id=27455509,"June 18, 2021",No
On Comments in Code,,https://news.ycombinator.com/item?id=27519445,"June 18, 2021",No
Io_uring is not an event system,,https://news.ycombinator.com/item?id=27540248,"June 18, 2021",No
Useful and useless code comments,,https://news.ycombinator.com/item?id=27542319,"June 18, 2021",No
NVMe over Fabrics Explained,,https://news.ycombinator.com/item?id=27350134,"June 1, 2021",No
AMD Demonstrates Stacked 3D V-Cache Technology: 192 MB at 2 TB/SEC,,https://news.ycombinator.com/item?id=27350632,"June 1, 2021",No
80M I/O Per Second with a Standard 2U System (spdk),"intel, optane, spdk, ssd",https://news.ycombinator.com/item?id=27288598,"May 28, 2021",No
Dynamic Programming vs. Divide-and-Conquer (2018),,https://news.ycombinator.com/item?id=26930667,"May 28, 2021",No
How to Read Assembly Language,,https://news.ycombinator.com/item?id=26311722,"March 2, 2021",No
Foundational Distributed Systems Papers,,https://news.ycombinator.com/item?id=26292627,"March 2, 2021",No
Context switching costs more than we give it credit for,,https://news.ycombinator.com/item?id=25817395,"January 18, 2021",No
That's not how 2FA works,,https://news.ycombinator.com/item?id=25810245,"January 18, 2021",No
Stripe’s payments APIs: the first ten years,,https://news.ycombinator.com/item?id=25455638,"January 18, 2021",No
Getting started with C,,https://news.ycombinator.com/item?id=25442165,"January 18, 2021",No
How Complex Systems Fail (1998),,https://news.ycombinator.com/item?id=25550685,"December 28, 2020",No
Systems design explains the world: volume 1,,https://news.ycombinator.com/item?id=25552267,"December 28, 2020",No
Ask HN: Favorite Podcast Episode of 2020?,,https://news.ycombinator.com/item?id=25553818,"December 28, 2020",No
A brief history of Elasticsearch (2014),,https://news.ycombinator.com/item?id=25552098,"December 28, 2020",No
The Genius of RISC-V Microprocessors,,https://news.ycombinator.com/item?id=25542963,"December 28, 2020",No
Just Wanted to Say Thanks,,https://news.ycombinator.com/item?id=25551487,"December 28, 2020",No
Teaching C,,https://news.ycombinator.com/item?id=11668396,"May 10, 2016",No
Show HN: Crafting Interpreters – A handbook for making programming languages,,https://news.ycombinator.com/item?id=13406081,"January 15, 2017",No
"TerarkDB, ByteDance's RocksDB replacement",,https://news.ycombinator.com/item?id=25514419,"December 23, 2020",Yes
Let’s Build a Simple Database (2017),,https://news.ycombinator.com/item?id=19581721,"April 5, 2019",No
"Pointers Are Complicated II, or: We need better language specs",,https://news.ycombinator.com/item?id=25419740,"December 15, 2020",No
How we built scalable spatial indexing in CockroachDB,,https://news.ycombinator.com/item?id=25423142,"December 15, 2020",No
Ask HN: What's the best paper you've read in 2020?,,https://news.ycombinator.com/item?id=25346456,"December 9, 2020",No
A Modern JavaScript Tutorial,,https://news.ycombinator.com/item?id=25333350,"December 8, 2020",No
"Linus Torvalds' good taste argument for linked lists, explained",,https://news.ycombinator.com/item?id=25326552,"December 7, 2020",No
Oasis: a small statically-linked Linux system,,https://news.ycombinator.com/item?id=25265761,"December 3, 2020",No
Ask HN: What are the best advanced computer science courses online?,,https://news.ycombinator.com/item?id=25271676,"December 3, 2020",No
The Road to the JIT,,https://news.ycombinator.com/item?id=25265238,"December 3, 2020",No
AlphaFold: a solution to a 50-year-old grand challenge in biology,,https://news.ycombinator.com/item?id=25253488,"December 3, 2020",No
Debugging Misadventures: Down the Rabbit Hole,,https://news.ycombinator.com/item?id=25260467,"December 3, 2020",No
Why is Apple's M1 chip so fast?,,https://news.ycombinator.com/item?id=25257932,"December 2, 2020",No
Error Handling Is Hard,,https://news.ycombinator.com/item?id=25253471,"December 2, 2020",No
Computer Graphics from Scratch (2017),,https://news.ycombinator.com/item?id=25266812,"December 2, 2020",Yes
What is protein folding? A brief explanation,,https://news.ycombinator.com/item?id=25261591,"December 2, 2020",No
OpenZFS 2.0,,https://news.ycombinator.com/item?id=25259405,"December 1, 2020",Yes
How io_uring and eBPF Will Revolutionize Programming in Linux,,https://news.ycombinator.com/item?id=25222243,"December 1, 2020",No
"Modern storage is plenty fast, but the APIs are bad",,https://news.ycombinator.com/item?id=25220892,"December 1, 2020",No
Learn difficult concepts with the ADEPT method (2014),,https://news.ycombinator.com/item?id=25201602,"December 1, 2020",No
The Birth of Unix with Brian Kernighan,,https://news.ycombinator.com/item?id=25176318,"December 1, 2020",No
